lat [deg],lon [deg],start time [s],duration [s],severity
-54.17866977598837,113.57815847538929,0,3600,1
45.01847368879292,45.40625974154497,0,3600,1
-66.15934220230277,56.378057180743156,10,3600,1
-46.14250221093473,-3.3455634955694693,10,3600,1
-44.798529211941634,26.27564659151029,10,3600,1
-34.350553951127914,-34.055509142588505,30,3600,1
72.0417804698025,64.13095513409662,30,3600,1
-5.252560918147383,15.31887347685575,50,3600,1
73.4298621591488,-174.59847171999056,50,3600,1
14.92017210062429,-73.96393139050402,70,3600,1
64.5514333837422,95.71557956221268,70,3600,1
-25.740406108794623,95.18507586938496,80,3600,1
-24.25234820489462,44.64981513734461,90,3600,1
26.197591705989097,144.13379882599463,90,3600,1
16.447649391704335,-144.8514604446252,100,3600,1
34.08703064704657,94.60938308072305,110,3600,1
-84.45823764382915,-96.01639775068973,120,3600,1
22.336758428640252,-174.61936686809815,150,3600,1
35.728090071936094,-134.63327879124566,160,3600,1
-5.207517128059357,53.75479547840342,210,3600,1
74.1371772598257,-3.5814059152093947,210,3600,1
-55.17349979800423,-64.4102923180755,230,3600,1
24.465838571905742,-103.63521988941113,240,3600,1
-65.17938922424784,-17.06879810188333,260,3600,1
-23.83054149315912,174.76916909470893,280,3600,1
86.16941305997895,23.64411315874368,300,3600,1
25.596225663564443,-135.0370411492876,320,3600,1
12.584080395635324,53.68260602541261,340,3600,1
-25.307839102047627,46.218852215845125,360,3600,1
65.46416174224677,-5.1501000392977785,370,3600,1
-6.759549143132434,-95.74818533530366,380,3600,1
-4.558951191696468,132.65711618593946,380,3600,1
84.97387749689986,-105.05432645728196,390,3600,1
-15.115601176873549,124.02139839981179,400,3600,1
-3.8755819513352456,45.37140525177165,420,3600,1
34.85021810225308,165.42971425868365,460,3600,1
-6.29878284921647,25.5543552843613,470,3600,1
-55.5703630963527,-174.85676799163403,490,3600,1
5.899337760423515,44.882021371738105,490,3600,1
5.406699211862329,-63.14603539585024,510,3600,1
6.15946882043758,-35.1808578577647,520,3600,1
-75.02051882825997,116.70239987879863,550,3600,1
15.863039579288756,34.07595574744034,570,3600,1
56.543235320593844,-84.33796764484204,570,3600,1
66.14886600839444,-64.18953299203257,580,3600,1
62.46546397133616,144.87240843356673,610,3600,1
-14.077922629704975,105.15590210081903,650,3600,1
44.084959460108195,-125.87637524188925,650,3600,1
86.98769664864456,25.172575439629014,660,3600,1
34.12205098615286,5.383326383563555,690,3600,1
85.47813904809973,15.231929259757162,710,3600,1
-33.511012813794125,4.548428604360977,720,3600,1
6.665960091578663,-34.762132578601324,720,3600,1
4.2230533128728815,-155.88804302117958,740,3600,1
-14.911504838966307,-15.05566758579212,750,3600,1
-77.08314583897527,-94.74058703902368,760,3600,1
33.5991266724823,154.63154542908373,770,3600,1
44.25178165669511,-4.4141173828459825,770,3600,1
-65.97836312392748,-135.06687177783925,780,3600,1
25.57759077251713,35.03092067299586,780,3600,1
65.59268492957658,94.94625718657137,780,3600,1
64.51427018773363,-36.95258107660647,790,3600,1
-24.034910797821123,-94.45369410303124,800,3600,1
44.7641346290872,-64.63277384285789,800,3600,1
-67.04852653848931,145.58974355628527,830,3600,1
4.162113309966151,-165.6741974828644,830,3600,1
-56.264656168714644,-102.98280342915946,840,3600,1
-45.318746151411766,-173.7458666148894,860,3600,1
47.221144833732346,-25.52318281928764,860,3600,1
13.342265318474876,-15.482619324553408,900,3600,1
64.59092198349158,-63.503208208172765,950,3600,1
-74.29230241192407,74.31230013148931,960,3600,1
-25.71965991669883,-173.3010150015479,970,3600,1
15.65278165726441,-43.610003959096915,1020,3600,1
-67.13504295031514,94.44830387883444,1050,3600,1
55.498676587286965,-35.83200249737677,1050,3600,1
-25.07113157166697,154.42178508452582,1070,3600,1
-73.61764039789638,-96.33429132967005,1090,3600,1
-15.278189754627343,174.7216453413859,1090,3600,1
-24.910141127381895,-154.83069802654805,1110,3600,1
3.896299692390679,75.28390556227906,1130,3600,1
-84.97592097800604,-64.6844968979764,1170,3600,1
23.96778516056895,-3.9079195653588688,1180,3600,1
-85.02785540896163,177.6722833703685,1210,3600,1
